,date,fake_merged,fake_merged_initiation,fake_merged_rt,fake_grinberg_initiation,fake_grinberg_rt,fake_grinberg_rb_initiation,fake_grinberg_rb_rt,fake_newsguard_initiation,fake_newsguard_rt,not_fake,not_fake_initiation,not_fake_rt,not_fake_conservative,not_fake_conservative_initiation,not_fake_conservative_rt,not_fake_liberal,not_fake_liberal_initiation,not_fake_liberal_rt,not_fake_shopping,not_fake_shopping_initiation,not_fake_shopping_rt,not_fake_sports,not_fake_sports_initiation,not_fake_sports_rt,n,nusers,subsets
24,2019-12-01,48.0,15.0,33.0,1.0,15.0,0.0,5.0,15.0,27.0,10657.0,5853.0,4804.0,296.0,109.0,187.0,250.0,69.0,181.0,1083.0,650.0,433.0,53.0,38.0,15.0,10705.0,1590,nfns_ha
25,2019-12-01,23.0,22.0,1.0,5.0,1.0,1.0,0.0,21.0,0.0,5822.0,4042.0,1780.0,181.0,93.0,88.0,147.0,53.0,94.0,148.0,37.0,111.0,8.0,3.0,5.0,5845.0,2951,nfns_la
26,2019-12-01,227.0,145.0,82.0,24.0,41.0,11.0,7.0,134.0,52.0,68436.0,47260.0,21176.0,2297.0,1141.0,1156.0,1908.0,651.0,1257.0,1696.0,1162.0,534.0,153.0,65.0,88.0,68663.0,36580,nfns_ma
27,2019-12-01,316.0,69.0,247.0,19.0,94.0,11.0,69.0,64.0,239.0,812.0,247.0,565.0,112.0,36.0,76.0,10.0,6.0,4.0,7.0,2.0,5.0,4.0,4.0,0.0,1128.0,115,suspended_ha
28,2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9,suspended_la
29,2019-12-01,80.0,24.0,56.0,5.0,26.0,3.0,22.0,23.0,54.0,467.0,274.0,193.0,29.0,9.0,20.0,9.0,1.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,547.0,132,suspended_ma
30,2019-12-02,31.0,11.0,20.0,4.0,7.0,0.0,0.0,7.0,14.0,1548.0,753.0,795.0,115.0,72.0,43.0,124.0,37.0,87.0,3.0,1.0,2.0,9.0,1.0,8.0,1579.0,146,A_ha
31,2019-12-02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0,48.0,36.0,7.0,4.0,3.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,85.0,39,A_la
32,2019-12-02,69.0,45.0,24.0,5.0,4.0,1.0,1.0,43.0,23.0,2668.0,1494.0,1174.0,154.0,65.0,89.0,112.0,49.0,63.0,43.0,39.0,4.0,8.0,0.0,8.0,2737.0,996,A_ma
33,2019-12-02,1521.0,306.0,1215.0,92.0,373.0,46.0,249.0,287.0,1135.0,14660.0,4238.0,10422.0,837.0,224.0,613.0,948.0,176.0,772.0,184.0,49.0,135.0,4.0,4.0,0.0,16181.0,1308,D_ha
34,2019-12-02,36.0,11.0,25.0,2.0,7.0,1.0,6.0,11.0,24.0,256.0,143.0,113.0,20.0,15.0,5.0,7.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,292.0,65,D_la
35,2019-12-02,837.0,267.0,570.0,75.0,162.0,48.0,110.0,251.0,534.0,7885.0,4004.0,3881.0,649.0,286.0,363.0,334.0,146.0,188.0,98.0,50.0,48.0,11.0,9.0,2.0,8722.0,2561,D_ma
36,2019-12-02,205.0,35.0,170.0,7.0,52.0,2.0,18.0,30.0,147.0,9632.0,2520.0,7112.0,267.0,77.0,190.0,869.0,164.0,705.0,74.0,16.0,58.0,18.0,5.0,13.0,9837.0,1010,F_ha
